"StichtagDatJahr","DatenstandCd","GbdArtSSZPubl1Sort","GbdArtSSZPubl1Cd","GbdArtSSZPubl1Lang","AnzNeubauGbd_noDM","AnzAbbruchGbd_noDM"
1995,"D",4,"4","Nichtwohngebäude",111,118
1996,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",7,9
1996,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",53,12
1996,"D",3,"3","Wohnhäuser mit Geschäftsräumen",11,2
1996,"D",4,"4","Nichtwohngebäude",67,91
1997,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",20,3
1997,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",33,17
1997,"D",3,"3","Wohnhäuser mit Geschäftsräumen",8,11
1997,"D",4,"4","Nichtwohngebäude",74,140
1998,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",34,15
1998,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",66,17
1998,"D",3,"3","Wohnhäuser mit Geschäftsräumen",7,14
1998,"D",4,"4","Nichtwohngebäude",56,142
1999,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",15,11
1999,"D",2,"2","Mehrfamilienhäuser ohne Geschäftsräume",67,9
1999,"D",3,"3","Wohnhäuser mit Geschäftsräumen",9,15
1999,"D",4,"4","Nichtwohngebäude",51,236
2000,"D",1,"1","Einfamilienhäuser ohne Geschäftsräume",44,66
